jset,topic,gene,symbol,rnk,colorcode
Basophils,topic20,11:53613665-53623665;NM_021283.2..Il4,Il4,1,#696969
Basophils,topic20,17:57100384-57110384;NM_009404.3..Tnfsf9,Tnfsf9,26.5,#696969
Basophils,topic20,18:37993969-38003969;NM_001205336.1..Arap3,Arap3,26.5,#696969
Basophils,topic20,1:151750373-151760373;NM_001039644.2..Edem3,Edem3,29,#696969
Basophils,topic20,1:183142557-183152557;NM_001278220.1..Disp1,Disp1,29,#696969
Basophils,topic20,5:75569986-75579986;NM_001122733.1..Kit,Kit,29,#696969
Basophils,topic20,4:62515063-62525063;NM_008525.4..Alad,Alad,31,#696969
Basophils,topic20,14:52011864-52021864;NM_001033805.3..Tmem253,Tmem253,32,#696969
Basophils,topic20,14:51052242-51062242;NM_001011875.2..Rnase12,Rnase12,34,#696969
Basophils,topic20,17:33776575-33786575;NM_020581.2..Angptl4,Angptl4,34,#696969
Basophils,topic20,2:119792739-119802739;NM_001290800.1..Tyro3,Tyro3,34,#696969
Basophils,topic20,6:121178666-121188666;NM_001304773.1..Pex26,Pex26,36.5,#696969
Basophils,topic20,7:3624984-3634984;NM_001159714.1..Prpf31,Prpf31,36.5,#696969
Basophils,topic20,6:115356143-115366143;NM_001308352.1..Pparg,Pparg,38.5,#696969
Basophils,topic20,7:4625482-4635482;NM_023440.2..Tmem86b,Tmem86b,38.5,#696969
Basophils,topic20,5:34944447-34954447;NM_173402.2..Rgs12,Rgs12,40.5,#696969
Basophils,topic20,5:75569990-75579990;NM_021099.3..Kit,Kit,40.5,#696969
Basophils,topic20,11:70634121-70644121;NM_010326.2..Gp1ba,Gp1ba,42.5,#696969
Basophils,topic20,7:30227029-30237029;NM_025548.3..Tbcb,Tbcb,42.5,#696969
Basophils,topic20,3:146610598-146620598;NM_019957.4..Dnase2b,Dnase2b,44,#696969
Basophils,topic20,2:25175757-25185757;NM_025980.2..Nrarp,Nrarp,45,#696969
Basophils,topic20,11:69192843-69202843;NM_009661.4..Alox8,Alox8,46.5,#696969
Basophils,topic20,3:108532583-108542583;NM_029314.1..1700013F07Rik,1700013F07Rik,46.5,#696969
Basophils,topic20,10:111005066-111015066;NM_172554.2..Zdhhc17,Zdhhc17,48,#696969
Basophils,topic20,1:167303669-167313669;NM_001039483.1..Tmco1,Tmco1,49.5,#696969
Basophils,topic20,12:84446507-84456507;NM_173756.4..Lin52,Lin52,49.5,#696969
Basophils,topic20,9:71479958-71489958;NM_001164793.1..Polr2m,Polr2m,51,#696969
Basophils,topic20,14:20789088-20799088;NM_001039138.2..Camk2g,Camk2g,53.5,#696969
Basophils,topic20,4:43262158-43272158;NM_177195.3..Atp8b5,Atp8b5,53.5,#696969
Basophils,topic20,7:45521268-45531268;NM_008654.2..Ppp1r15a,Ppp1r15a,53.5,#696969
Basophils,topic20,9:66345449-66355449;NM_145617.3..Herc1,Herc1,53.5,#696969
Basophils,topic20,12:55297636-55307636;NM_025373.1..1110008L16Rik,1110008L16Rik,57,#696969
Basophils,topic20,16:16864255-16874255;NM_016982.2..Vpreb1,Vpreb1,57,#696969
Basophils,topic20,7:45521329-45531329;NM_148927.2..Plekha4,Plekha4,57,#696969
Basophils,topic20,3:27148878-27158878;NM_001177626.1..Ect2,Ect2,59.5,#696969
Basophils,topic20,6:115357348-115367348;NM_001308354.1..Pparg,Pparg,59.5,#696969
Basophils,topic20,7:45087213-45097213;NM_026555.2..Rcn3,Rcn3,61,#696969
Basophils,topic20,14:52014713-52024713;NM_001253694.1..Zfp219,Zfp219,62.5,#696969
Basophils,topic20,3:59148492-59158492;NM_001287119.1..P2ry14,P2ry14,62.5,#696969
Basophils,topic20,16:30305781-30315781;NM_008148.4..Gp5,Gp5,64,#696969
Basophils,topic20,13:115085158-115095158;NM_134058.3..Pelo,Pelo,66.5,#696969
Basophils,topic20,15:100715477-100725477;NM_001161768.1..Galnt6,Galnt6,66.5,#696969
Basophils,topic20,15:79023211-79033211;NM_008197.3..H1f0,H1f0,66.5,#696969
Basophils,topic20,4:62514909-62524909;NM_001276446.1..Alad,Alad,66.5,#696969
Basophils,topic20,14:55217006-55227006;NM_027790.2..Dhrs2,Dhrs2,70.5,#696969
Basophils,topic20,16:17139423-17149423;NM_029779.2..Ccdc116,Ccdc116,70.5,#696969
Basophils,topic20,16:17141966-17151966;NM_026940.4..Ydjc,Ydjc,70.5,#696969
Basophils,topic20,7:45612605-45622605;NM_001271981.1..Fut1,Fut1,70.5,#696969
Basophils,topic20,13:76093733-76103733;NM_001081352.1..Ttc37,Ttc37,75,#696969
Basophils,topic20,19:43748000-43758000;NM_144874.4..Cox15,Cox15,75,#696969
Basophils,topic20,3:8662038-8672038;NM_010423.2..Hey1,Hey1,75,#696969
Basophils,topic20,5:122367507-122377507;NM_024216.1..Gpn3,Gpn3,75,#696969
Basophils,topic20,7:81052599-81062599;NM_054085.2..Alpk3,Alpk3,75,#696969
Basophils,topic20,3:145982869-145992869;NM_001166064.1..Syde2,Syde2,78,#696969
Basophils,topic20,6:115355950-115365950;NM_001127330.2..Pparg,Pparg,79,#696969
Basophils,topic20,18:23984633-23994633;NM_011755.2..Zfp35,Zfp35,80.5,#696969
Basophils,topic20,2:84469174-84479174;NM_011576.1..Tfpi,Tfpi,80.5,#696969
Basophils,topic20,5:72637752-72647752;NM_007723.2..Cnga1,Cnga1,82,#696969
Basophils,topic20,11:70347031-70357031;NM_009660.3..Alox15,Alox15,84,#696969
Basophils,topic20,4:103209884-103219884;NM_177732.4..Slc35d1,Slc35d1,84,#696969
Basophils,topic20,8:123513834-123523834;NM_018855.2..Gas8,Gas8,84,#696969
Basophils,topic20,11:70317518-70327518;NM_145684.1..Alox12e,Alox12e,87.5,#696969
Basophils,topic20,12:84443317-84453317;NM_001313967.1..Aldh6a1,Aldh6a1,87.5,#696969
Basophils,topic20,3:108531522-108541522;NM_001033304.1..5330417C22Rik,5330417C22Rik,87.5,#696969
Basophils,topic20,9:21922470-21932470;NM_001164614.1..Ccdc159,Ccdc159,87.5,#696969
Basophils,topic20,5:90754297-90764297;NM_009141.3..Cxcl5,Cxcl5,90,#696969
Basophils,topic20,10:62597298-62607298;NM_019553.2..Ddx21,Ddx21,92.5,#696969
Basophils,topic20,12:73896323-73906323;NM_001313920.1..Hif1a,Hif1a,92.5,#696969
Basophils,topic20,2:91926702-91936702;NM_001012335.2..Mdk,Mdk,92.5,#696969
Basophils,topic20,4:88875201-88885201;NM_177348.2..Ifne,Ifne,92.5,#696969
Basophils,topic20,1:133241096-133251096;NM_001160268.1..Plekha6,Plekha6,97,#696969
Basophils,topic20,11:3927078-3937078;NM_001130458.1..Tcn2,Tcn2,97,#696969
Basophils,topic20,14:21047442-21057442;NM_018829.4..Ap3m1,Ap3m1,97,#696969
Basophils,topic20,15:75935951-75945951;NM_030199.3..Zfp623,Zfp623,97,#696969
Basophils,topic20,2:91926859-91936859;NM_001012336.2..Mdk,Mdk,97,#696969
Basophils,topic20,11:3926961-3936961;NM_001130459.1..Tcn2,Tcn2,102,#696969
Basophils,topic20,13:30131489-30141489;NM_153546.4..Mboat1,Mboat1,102,#696969
Basophils,topic20,15:100682920-100692920;NM_033612.2..Cela1,Cela1,102,#696969
Basophils,topic20,3:116503175-116513175;NM_025517.3..Rtca,Rtca,102,#696969
Basophils,topic20,7:127885970-127895970;NM_001081268.1..Prss53,Prss53,102,#696969
Basophils,topic20,1:171208969-171218969;NM_001243062.1..Nr1i3,Nr1i3,107,#696969
Basophils,topic20,12:87467299-87477299;NM_025507.2..Snw1,Snw1,107,#696969
Basophils,topic20,16:32792435-32802435;NM_001145874.1..Muc20,Muc20,107,#696969
Basophils,topic20,19:45744563-45754563;NM_008723.1..Npm3,Npm3,107,#696969
Basophils,topic20,2:32419066-32429066;NM_001290558.1..Slc25a25,Slc25a25,107,#696969
Basophils,topic20,13:55709649-55719649;NM_175150.3..Txndc15,Txndc15,110.5,#696969
Basophils,topic20,15:97242106-97252106;NM_172293.4..Pced1b,Pced1b,110.5,#696969
Basophils,topic20,12:59007017-59017017;NM_009147.2..Sec23a,Sec23a,112.5,#696969
Basophils,topic20,8:91308222-91318222;NM_173431.2..Rpgrip1l,Rpgrip1l,112.5,#696969
Basophils,topic20,11:3927044-3937044;NM_015749.3..Tcn2,Tcn2,116,#696969
Basophils,topic20,19:16430666-16440666;NM_008137.4..Gna14,Gna14,116,#696969
Basophils,topic20,3:41550733-41560733;NM_001130184.1..Jade1,Jade1,116,#696969
Basophils,topic20,7:90260432-90270432;NM_029256.3..Ccdc83,Ccdc83,116,#696969
Basophils,topic20,8:114128573-114138573;NM_001290180.1..Nudt7,Nudt7,116,#696969
Basophils,topic20,11:53629702-53639702;NM_008355.3..Il13,Il13,121,#696969
Basophils,topic20,12:111961977-111971977;NM_027360.2..2010107E04Rik,2010107E04Rik,121,#696969
Basophils,topic20,12:52694382-52704382;NM_198111.2..Akap6,Akap6,121,#696969
Basophils,topic20,4:57296837-57306837;NM_011207.2..Ptpn3,Ptpn3,121,#696969
Basophils,topic20,6:53973673-53983673;NM_001289713.1..Cpvl,Cpvl,121,#696969
Basophils,topic20,11:100523000-100533000;NM_001199296.1..Acly,Acly,125,#696969
Basophils,topic20,16:45649118-45659118;NM_145389.2..BC016579,BC016579,125,#696969
Basophils,topic20,18:35210024-35220024;NM_178005.4..Lrrtm2,Lrrtm2,125,#696969
Basophils,topic20,12:99879514-99889514;NM_028354.4..Tdp1,Tdp1,128.5,#696969
Basophils,topic20,13:22004741-22014741;NM_019429.2..Prss16,Prss16,128.5,#696969
Basophils,topic20,2:181710015-181720015;NM_001318919.1..Oprl1,Oprl1,128.5,#696969
Basophils,topic20,4:129243443-129253443;NM_001033189.3..C77080,C77080,128.5,#696969
Basophils,topic20,11:69890539-69900539;NM_153788.3..Acap1,Acap1,131.5,#696969
Basophils,topic20,7:45610490-45620490;NM_020013.4..Fgf21,Fgf21,131.5,#696969
Basophils,topic20,4:40717929-40727929;NM_001164672.2..Dnaja1,Dnaja1,134,#696969
Basophils,topic20,4:43626934-43636934;NM_173788.3..Npr2,Npr2,134,#696969
Basophils,topic20,9:75436523-75446523;NM_001039522.1..Leo1,Leo1,134,#696969
Basophils,topic20,17:12502704-12512704;NM_011395.2..Slc22a3,Slc22a3,138,#696969
Basophils,topic20,17:85085267-85095267;NM_001163622.1..Prepl,Prepl,138,#696969
Basophils,topic20,18:24598960-24608960;NM_021448.2..Elp2,Elp2,138,#696969
Basophils,topic20,4:116802733-116812733;NM_001159581.1..Mutyh,Mutyh,138,#696969
Basophils,topic20,9:120566516-120576516;NM_025974.2..Rpl14,Rpl14,138,#696969
Basophils,topic20,10:128700051-128710051;NM_016756.4..Cdk2,Cdk2,143,#696969
Basophils,topic20,14:47368859-47378859;NM_001145953.1..Lgals3,Lgals3,143,#696969
Basophils,topic20,15:79025873-79035873;NM_001161712.1..Gcat,Gcat,143,#696969
Basophils,topic20,6:113338922-113348922;NM_133926.2..Camk1,Camk1,143,#696969
Basophils,topic20,8:91308524-91318524;NM_011936.2..Fto,Fto,143,#696969
Basophils,topic20,1:20946625-20956625;NM_027974.1..Efhc1,Efhc1,149,#696969
Basophils,topic20,10:127036931-127046931;NM_010792.1..Mettl1,Mettl1,149,#696969
Basophils,topic20,11:53345766-53355766;NM_033565.2..Aff4,Aff4,149,#696969
Basophils,topic20,12:110845278-110855278;NM_001199785.1..Zfp839,Zfp839,149,#696969
Basophils,topic20,19:34872917-34882917;NM_023792.2..Pank1,Pank1,149,#696969
Basophils,topic20,7:30227073-30237073;NM_027259.1..Polr2i,Polr2i,149,#696969
Basophils,topic20,8:123402081-123412081;NM_008559.2..Mc1r,Mc1r,149,#696969
Basophils,topic20,19:11618719-11628719;NM_001276328.1..Ms4a2,Ms4a2,154,#696969
Basophils,topic20,2:30261818-30271818;NM_001252570.1..Phyhd1,Phyhd1,154,#696969
Basophils,topic20,7:127899072-127909072;NM_009739.3..Bckdk,Bckdk,154,#696969
Basophils,topic20,1:43440750-43450750;NM_010879.3..Nck2,Nck2,158,#696969
Basophils,topic20,13:45502443-45512443;NM_025508.5..Gmpr,Gmpr,158,#696969
Basophils,topic20,2:181710689-181720689;NM_001318920.1..Oprl1,Oprl1,158,#696969
Basophils,topic20,4:156021341-156031341;NM_009400.2..Tnfrsf18,Tnfrsf18,158,#696969
Basophils,topic20,8:18841278-18851278;NM_026792.3..Agpat5,Agpat5,158,#696969
Basophils,topic20,16:30060356-30070356;NM_008235.2..Hes1,Hes1,161,#696969
Basophils,topic20,2:119794513-119804513;NM_019392.2..Tyro3,Tyro3,163,#696969
Basophils,topic20,2:126613678-126623678;NM_008230.6..Hdc,Hdc,163,#696969
Basophils,topic20,4:134338045-134348045;NM_001039677.2..Slc30a2,Slc30a2,163,#696969
Basophils,topic20,17:3478489-3488489;NM_001286757.1..Tiam2,Tiam2,167.5,#696969
Basophils,topic20,2:25495777-25505777;NM_013908.4..Fbxw5,Fbxw5,167.5,#696969
Basophils,topic20,3:107755469-107765469;NM_001113529.1..Csf1,Csf1,167.5,#696969
Basophils,topic20,3:116508078-116518078;NM_010022.3..Dbt,Dbt,167.5,#696969
Basophils,topic20,3:122240556-122250556;NM_008129.4..Gclm,Gclm,167.5,#696969
Basophils,topic20,4:129116747-129126747;NM_001130419.2..Hpca,Hpca,167.5,#696969
Basophils,topic20,16:33789036-33799036;NM_010739.2..Muc13,Muc13,172,#696969
Basophils,topic20,4:107204179-107214179;NM_001081272.1..Ldlrad1,Ldlrad1,172,#696969
Basophils,topic20,4:129115172-129125172;NM_001286083.1..Hpca,Hpca,172,#696969
Basophils,topic20,11:46384515-46394515;NM_001281965.1..Itk,Itk,175.5,#696969
Basophils,topic20,12:111966558-111976558;NM_029056.1..Tdrd9,Tdrd9,175.5,#696969
Basophils,topic20,12:28630953-28640953;NM_011300.3..Rps7,Rps7,175.5,#696969
Basophils,topic20,4:133235817-133245817;NM_016693.5..Map3k6,Map3k6,175.5,#696969
Basophils,topic20,11:72484920-72494920;NM_153060.3..Spns2,Spns2,180.5,#696969
Basophils,topic20,4:129116303-129126303;NM_010471.4..Hpca,Hpca,180.5,#696969
Basophils,topic20,4:15940507-15950507;NM_026172.3..Decr1,Decr1,180.5,#696969
Basophils,topic20,5:30008113-30018113;NM_001314054.1..Il6,Il6,180.5,#696969
Basophils,topic20,5:90781100-90791100;NM_203320.3..Cxcl3,Cxcl3,180.5,#696969
Basophils,topic20,8:85427841-85437841;NM_025722.3..4921524J17Rik,4921524J17Rik,180.5,#696969
Basophils,topic20,10:128904344-128914344;NM_001282966.1..Cd63,Cd63,186,#696969
Basophils,topic20,12:4764267-4774267;NM_175431.4..Fam228b,Fam228b,186,#696969
Basophils,topic20,19:43777307-43787307;NM_013806.2..Abcc2,Abcc2,186,#696969
Basophils,topic20,4:129691838-129701838;NM_199305.1..Tmem39b,Tmem39b,186,#696969
Basophils,topic20,4:133493550-133503550;NM_001081156.2..Trnp1,Trnp1,186,#696969
Basophils,topic20,1:40434628-40444628;NM_001025602.3..Il1rl1,Il1rl1,190.5,#696969
Basophils,topic20,15:97242287-97252287;NM_001164563.1..Amigo2,Amigo2,190.5,#696969
Basophils,topic20,18:12163729-12173729;NM_029623.2..3110002H16Rik,3110002H16Rik,190.5,#696969
Basophils,topic20,2:157362593-157372593;NM_026968.3..Manbal,Manbal,190.5,#696969
Basophils,topic20,4:135490986-135500986;NM_030189.3..Stpg1,Stpg1,194,#696969
Basophils,topic20,7:100171669-100181669;NM_001190869.1..Kcne3,Kcne3,194,#696969
Basophils,topic20,9:44413007-44423007;NM_201372.3..Ccdc84,Ccdc84,194,#696969
Basophils,topic20,11:79334891-79344891;NM_010897.2..Nf1,Nf1,198.5,#696969
Basophils,topic20,15:66964641-66974641;NM_008681.2..Ndrg1,Ndrg1,198.5,#696969
Basophils,topic20,19:34874455-34884455;NM_001114339.2..Pank1,Pank1,198.5,#696969
Basophils,topic20,2:25360626-25370626;NM_001033293.2..Uap1l1,Uap1l1,198.5,#696969
Basophils,topic20,7:143595090-143605090;NM_001252593.1..Cars,Cars,198.5,#696969
Basophils,topic20,9:44064428-44074428;NM_016808.2..Usp2,Usp2,198.5,#696969
Basophils,topic20,17:48449900-48459900;NM_152823.4..Unc5cl,Unc5cl,202.5,#696969
Basophils,topic20,18:61206596-61216596;NM_007885.2..Slc26a2,Slc26a2,202.5,#696969
Basophils,topic20,13:54066844-54076844;NM_027324.5..Sfxn1,Sfxn1,206.5,#696969
Basophils,topic20,16:16858985-16868985;NM_001190325.1..Igll1,Igll1,206.5,#696969
Basophils,topic20,19:46702442-46712442;NM_020577.2..As3mt,As3mt,206.5,#696969
Basophils,topic20,2:58319807-58329807;NM_001033369.3..Acvr1c,Acvr1c,206.5,#696969
Basophils,topic20,5:30902788-30912788;NM_001134692.2..Ost4,Ost4,206.5,#696969
Basophils,topic20,X:13462671-13472671;NM_173415.4..Nyx,Nyx,206.5,#696969
Basophils,topic20,15:81806413-81816413;NM_017376.3..Tef,Tef,212.5,#696969
Basophils,topic20,19:32590714-32600714;NM_001201470.1..Papss2,Papss2,212.5,#696969
Basophils,topic20,2:91927297-91937297;NM_001291483.1..Mdk,Mdk,212.5,#696969
Basophils,topic20,3:68864585-68874585;NM_001167996.1..1110032F04Rik,1110032F04Rik,212.5,#696969
Basophils,topic20,5:113998883-114008883;NM_001286397.1..Dao,Dao,212.5,#696969
Basophils,topic20,6:113437516-113447516;NM_001205025.1..Jagn1,Jagn1,212.5,#696969
Basophils,topic20,11:120525726-120535726;NM_008101.2..Gcgr,Gcgr,218,#696969
Basophils,topic20,11:78545735-78555735;NM_133706.2..Tmem97,Tmem97,218,#696969
Basophils,topic20,12:55298000-55308000;NM_021529.3..Ppp2r3c,Ppp2r3c,218,#696969
Basophils,topic20,2:173114525-173124525;NM_001081387.2..Ctcfl,Ctcfl,218,#696969
Basophils,topic20,4:99025953-99035953;NM_013913.4..Angptl3,Angptl3,218,#696969
Basophils,topic20,1:136045803-136055803;NM_001270609.1..Ascl5,Ascl5,222.5,#696969
Basophils,topic20,11:5873256-5883256;NM_008894.2..Pold2,Pold2,222.5,#696969
Basophils,topic20,2:181710347-181720347;NM_001252565.1..Oprl1,Oprl1,222.5,#696969
Basophils,topic20,8:123510455-123520455;NM_001170975.2..Dbndd1,Dbndd1,222.5,#696969
Basophils,topic20,1:86298220-86308220;NM_145222.2..B3gnt7,B3gnt7,227.5,#696969
Basophils,topic20,17:85085699-85095699;NM_028576.2..Camkmt,Camkmt,227.5,#696969
Basophils,topic20,4:116118689-116128689;NM_001122958.1..Rad54l,Rad54l,227.5,#696969
Basophils,topic20,4:132298356-132308356;NM_001081651.1..Rab42,Rab42,227.5,#696969
Basophils,topic20,7:4510975-4520975;NM_001277903.1..Tnnt1,Tnnt1,227.5,#696969
Basophils,topic20,9:21922535-21932535;NM_001253867.1..Tmem205,Tmem205,227.5,#696969
Basophils,topic20,16:17754620-17764620;NM_145479.4..Klhl22,Klhl22,233,#696969
Basophils,topic20,4:129116925-129126925;NM_001286081.1..Hpca,Hpca,233,#696969
Basophils,topic20,4:148586512-148596512;NM_009272.4..Srm,Srm,233,#696969
Basophils,topic20,6:53063624-53073624;NM_173406.3..Jazf1,Jazf1,233,#696969
Basophils,topic20,7:48838671-48848671;NM_013808.4..Csrp3,Csrp3,233,#696969
Basophils,topic20,1:131965608-131975608;NM_145977.2..Slc45a3,Slc45a3,238.5,#696969
Basophils,topic20,17:85085274-85095274;NM_001163624.1..Prepl,Prepl,238.5,#696969
Basophils,topic20,2:30261202-30271202;NM_001252568.2..Phyhd1,Phyhd1,238.5,#696969
Basophils,topic20,2:84983214-84993214;NM_016914.2..Prg3,Prg3,238.5,#696969
Basophils,topic20,5:122366963-122376963;NM_026883.3..Fam216a,Fam216a,238.5,#696969
Basophils,topic20,6:148891237-148901237;NM_001301351.1..Caprin2,Caprin2,238.5,#696969
Basophils,topic20,1:72279314-72289314;NM_023523.5..Pecr,Pecr,244.5,#696969
Basophils,topic20,10:128928812-128938812;NM_008398.2..Itga7,Itga7,244.5,#696969
Basophils,topic20,17:28617454-28627454;NM_016795.3..Srpk1,Srpk1,244.5,#696969
Basophils,topic20,19:43748022-43758022;NM_001113562.1..Cutc,Cutc,244.5,#696969
Basophils,topic20,6:48390585-48400585;NM_133922.3..Krba1,Krba1,244.5,#696969
Basophils,topic20,7:141056273-141066273;NM_177897.3..B4galnt4,B4galnt4,244.5,#696969
Basophils,topic20,11:86252568-86262568;NM_027421.2..Ints2,Ints2,249.5,#696969
Basophils,topic20,14:51045163-51055163;NM_001011877.2..Rnase11,Rnase11,249.5,#696969
Basophils,topic20,15:76506818-76516818;NM_010046.2..Dgat1,Dgat1,249.5,#696969
Basophils,topic20,7:35581246-35591246;NM_145633.3..Ankrd27,Ankrd27,249.5,#696969
Basophils,topic20,11:106710281-106720281;NM_001032378.2..Pecam1,Pecam1,253,#696969
Basophils,topic20,11:4890342-4900342;NM_172438.3..Thoc5,Thoc5,253,#696969
Basophils,topic20,8:123327712-123337712;NM_172287.2..Spire2,Spire2,253,#696969
Basophils,topic20,10:82759141-82769141;NM_010914.2..Nfyb,Nfyb,257,#696969
Basophils,topic20,11:62874489-62884489;NM_026210.4..Tvp23b,Tvp23b,257,#696969
Basophils,topic20,14:30003896-30013896;NM_019583.3..Il17rb,Il17rb,257,#696969
Basophils,topic20,15:89310311-89320311;NM_001081030.2..Sbf1,Sbf1,257,#696969
Basophils,topic20,17:56930388-56940388;NM_022328.2..Mllt1,Mllt1,257,#696969
Basophils,topic20,11:104602999-104612999;NM_016780.2..Itgb3,Itgb3,263.5,#696969
Basophils,topic20,11:78417185-78427185;NM_022411.3..Slc13a2,Slc13a2,263.5,#696969
Basophils,topic20,13:95520240-95530240;NM_007974.4..F2rl1,F2rl1,263.5,#696969
Basophils,topic20,17:53579125-53589125;NM_001190846.1..Kat2b,Kat2b,263.5,#696969
Basophils,topic20,17:57057276-57067276;NM_177638.4..Crb3,Crb3,263.5,#696969
Basophils,topic20,19:47085765-47095765;NM_011053.2..Pdcd11,Pdcd11,263.5,#696969
Basophils,topic20,6:48890254-48900254;NM_029638.2..Aoc1,Aoc1,263.5,#696969
Basophils,topic20,7:29903516-29913516;NM_001243908.1..Zfp383,Zfp383,263.5,#696969
Basophils,topic20,1:54434026-54444026;NM_001033194.3..Gtf3c3,Gtf3c3,272.5,#696969
Basophils,topic20,11:103213432-103223432;NM_177801.3..Spata32,Spata32,272.5,#696969
Basophils,topic20,12:4764294-4774294;NM_028376.3..Pfn4,Pfn4,272.5,#696969
Basophils,topic20,17:47432375-47442375;NM_029296.2..1700001C19Rik,1700001C19Rik,272.5,#696969
Basophils,topic20,19:31760033-31770033;NM_001013833.3..Prkg1,Prkg1,272.5,#696969
Basophils,topic20,19:8659004-8669004;NM_001112697.1..Chrm1,Chrm1,272.5,#696969
Basophils,topic20,2:79702779-79712779;NM_001290743.1..Ppp1r1c,Ppp1r1c,272.5,#696969
Basophils,topic20,5:108443891-108453891;NM_172883.2..Mfsd7a,Mfsd7a,272.5,#696969
Basophils,topic20,5:124624051-124634051;NM_011596.5..Atp6v0a2,Atp6v0a2,272.5,#696969
Basophils,topic20,6:52222370-52232370;NM_001277238.1..Hoxa9,Hoxa9,272.5,#696969
Basophils,topic20,11:89997894-90007894;NM_001316372.1..Pctp,Pctp,280.5,#696969
Basophils,topic20,14:31489977-31499977;NM_025907.3..Mettl6,Mettl6,280.5,#696969
Basophils,topic20,15:42671977-42681977;NM_001286062.1..Angpt1,Angpt1,280.5,#696969
Basophils,topic20,17:3477314-3487314;NM_001286758.1..Tiam2,Tiam2,280.5,#696969
Basophils,topic20,3:28258213-28268213;NM_001163007.1..Tnik,Tnik,280.5,#696969
Basophils,topic20,8:25842694-25852694;NM_001080793.2..Ash2l,Ash2l,280.5,#696969
Basophils,topic20,11:11893144-11903144;NM_001190448.1..Ddc,Ddc,286,#696969
Basophils,topic20,11:69232022-69242022;NM_008192.3..Gucy2e,Gucy2e,286,#696969
Basophils,topic20,19:59255877-59265877;NM_172523.3..Slc18a2,Slc18a2,286,#696969
Basophils,topic20,5:8992146-9002146;NM_023733.3..Crot,Crot,286,#696969
Basophils,topic20,7:127795608-127805608;NM_001040684.1..Hsd3b7,Hsd3b7,286,#696969
Basophils,topic20,11:70535271-70545271;NM_001302475.1..Pld2,Pld2,293.5,#696969
Basophils,topic20,14:55779019-55789019;NM_080435.1..Adcy4,Adcy4,293.5,#696969
Basophils,topic20,15:75673790-75683790;NM_028404.2..Top1mt,Top1mt,293.5,#696969
Basophils,topic20,17:71305965-71315965;NM_145158.3..Emilin2,Emilin2,293.5,#696969
Basophils,topic20,19:31077840-31087840;NM_031249.2..Cstf2t,Cstf2t,293.5,#696969
Basophils,topic20,2:13788520-13798520;NM_145838.1..St8sia6,St8sia6,293.5,#696969
Basophils,topic20,2:145929700-145939700;NM_025820.3..Crnkl1,Crnkl1,293.5,#696969
Basophils,topic20,5:135684144-135694144;NM_008898.2..Por,Por,293.5,#696969
Basophils,topic20,7:127819531-127829531;NM_024414.2..Stx1b,Stx1b,293.5,#696969
Basophils,topic20,7:46025286-46035286;NM_018795.2..Abcc6,Abcc6,293.5,#696969
Basophils,topic20,1:171498477-171508477;NM_019484.4..Alyref2,Alyref2,302,#696969
